Item Number|Description|TECNOLOGIA|GRAMAJE|GRAMAJE UDM|TIPO SURFACTADO|ANCHO|ANCHO UDM|LONGITUD|LONGITUD UDM|ROLLOS/PAQUETE|AUTOEMPAQUE|CENTRO DE CARTON|TAPA DE CARTON|CODIGO BASE|ARCHIVO QW|CODIGOS DE DESPERDICIO|CODIGOS DE DESPERD ET|SUBINVENTARIO DE DESPERD ET|COLOR|VITALITY INDEX CLASSIFICATION|FM CANTIDAD|FM COMPOSICION|FM COMPOSITION|X|Item Creation|Item Status|IRMS Customer|UOM|
00001COAHC|PELLET SMS BLANCO FIL AHC|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00001COCIR|PELLET SMS BLANCO FIL CIRR|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00001COSYN|PELLET SMS BLANCO FIL SYNT|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00002COAHC|PELLET SS BLANCO FIL AHC|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00002COCIR|PELLET SS BLANCO FIL CIRR|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00002COSIL|PELLET SS BLANCO FIL SIL|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00002COSYN|PELLET SS BLANCO FILICO - FOBICO|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00002CO|PELLET SS BLANCO FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00003COAHC|PELLET SS VERDE715 FIL AHC|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00003COSYN|PELLET SS VERDE715 FIL SYNT|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00003CO|PELLET SS VERDE712||1|GSM||1|||||||||||||||||||22-JUL-05|Active||KG|
00004CO|PELLET SS AZUL519|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00005COSYN|PELLET SS AZUL519 FIL SYNT|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00006COCIR|PELLET SS BLANCO SUPERSUAVE FIL CIRR|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00007CO|PELLET SMS AZUL635|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00008CO|PELLET SMS VERDE715 FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00009CO|PELLET SMS VERDE331 FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00010CO|PELLET SMS LILA FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00011CO|PELLET SMSM VERDE 3245 FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00012CO1DR|DESPERDICIO RECHAZO SS 25 GSM BLANCO|SS|25|GSM|||||||||||||||BLANCO||||||14-SEP-17|Active||KG|
00012CO|PELLET SMS-SS MEZCLA|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00013CO|PELLET SMS AZUL598|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00014CO|PELLET SMS AZUL519 FB|||||1|||||||||||||||||||22-JUL-05|Active||KG|
00018CO102150INP|SS 35 GSM BLANCO   2150 MM|SS|35|GSM|FOBICO|2150|MM|500|LM|1|Y|J||00018CO1|CO1 PT SS 35 BLANCO|00018CO1DR|REFILESB|DRCOEXTRUS|BLANCO||||||22-JUN-17|Active||M2|
00018CO1DR|DESPERDICIO RECHAZO SS 35 GSM BLANCO|SS|35|GSM|||||||||||||||BLANCO||||||22-JUN-17|Active||KG|
00023CO101600COM|SS 23 GSM BLANCO   1600 MM|SS|23|GSM|FOBICO|1600|MM|2300|LM|1|N|B2||00023CO1|CO1 PT SS 23 BLANCO|00023CO1DR|REFILESB|DRCOEXTRUS|BLANCO|2|||||18-ENE-22|Active||M2|
00023CO102120CPP|SS 23 GSM BLANCO 2120 MM|SS|23|GSM|FOBICO|2120|MM|9000|LM|1|N|D||00023CO1|CO1 PT SS 23 BLANCO|00023CO1DR|REFILESB|DRCOEXTRUS|BLANCO||||||17-MAY-19|Active|42109978|M2|
00023CO102600COM|SS 23 GSM BLANCO   2600 MM|SS|23|GSM|FOBICO|2600|MM|2300|LM|1|N|B2||00023CO1|CO1 PT SS 23 BLANCO|00023CO1DR|REFILESB|DRCOEXTRUS|BLANCO|2|||||18-ENE-22|Active||M2|
00023CO1DR|DESPERDICIO RECHAZO SS 23 GSM BLANCO|SS|23|GSM|||||||||||||||BLANCO||||||14-SEP-17|Active||KG|
00026CO102150COM|SS 40 gms BLANCO 100 SIN ADITIVOS|SS|40|GSM||2150|MM|250|LM|1|N|J||00026CO1|SS 40 Blanco|00026CO1DR|REFILESB|DRCOEXTRUS|||||||11-MAR-06|Active||M2|
00026CO302150COM|SS 40 GSM BLANCO 2150 MM|SS|40|GSM|FOBICO|2150|MM|250|LM|1|Y|J||00026CO3|L3 PT SS 40 BCO|00026CO3DR|REFILESB|DRCOEXTRUS|BLANCO||||||23-ENE-07|Active||M2|
00055CO3DR|DESPERDICIO RECHAZO SS 14 GSM BLANCO|SS|14|GSM|||||||||||||||BLANCO||||||14-MAY-13|Active||KG|
00059CO3DR|DESPERDICIO RECHAZO SS 13 GSM BLANCO|SS|13|GSM|||||||||||||||BLANCO||||||15-ENE-15|Active||KG|
00060CO3DR|DESPERDICIO RECHAZO SS 12 GSM BLANCO|SS|12|GSM|||||||||||||||BLANCO||||||27-OCT-14|Active||KG|
00061CO1DR|DESPERDICIO RECHAZO SS 14 GSM BLANCO|SS|14|GSM|||||||||||||||BLANCO||||||25-MAR-11|Active||KG|
00065CO1DR|DESPERDICIO RECHAZO SS 14 GSM BLANCO|SS|14|GSM|||||||||||||||BLANCO||||||25-MAR-11|Active||KG|
00067CO3DR|DESPERDICIO RECHAZO SS 17 GSM BLANCO|SS|17|GSM|||||||||||||||BLANCO||||||04-OCT-11|Active||KG|
00068CO1DR|DESPERDICIO RECHAZO SS 13 GSM BLANCO|SS|13|GSM|||||||||||||||BLANCO||||||29-MAR-11|Active||KG|
00070CO3DR|DESPERDICIO RECHAZO SS 17 GSM BEIGE|SS|17|GSM|||||||||||||||BEIGE||||||14-FEB-13|Active||KG|
00071CO3DR|DESPERDICIO RECHAZO SS 13 GSM BLANCO|SS|13|GSM|||||||||||||||BLANCO||||||04-JUN-13|Active||KG|
00072CO102000INP|SS 65 GSM BLANCO 2000 MM|SS|65|GSM|FOBICO|2000|MM|800|LM|1|Y|J||00072CO1|CO1 PT SS 65 BLANCO|00072CO1DR|REFILESB|DRCOEXTRUS|BLANCO||||||17-MAY-17|Active||M2|
