Cliente;Nit;SubInventario;Tipo Pedido;Pedido;NumSalida;Entrega;Fecha Confirmacion;Semana Conf;Fecha Creacion;Producto;Linea;SubLinea;Kilos;Kilos Teoricos;M2;Cliente Producto;Numero Trans;Metodo Envio;Transportista;Codigo Trans;Origen Trans;Destino Trans;Capacidad;Contenedor;Placa;Destino;Verificacion Despacho;Cuenta;Seal;Termino Flete;Segmento Item;
KC COLPAPEL;860015753-3;APT;PGI_CAL_STD_NAL;39706;APT47065;12256005;09/05/2022;36;09/05/2022;05261CO100180CPP;1;O;4111.5;4111.5;411150;CPP;99472;INTER-TL-ZFP-TOCANCIPA;INTER;TL;ZFP;TOCANCIPA;40HC;S74731;LFQ652;;S;352.119901.61204820.000000.H02.000;035342;CIP;HY NONWOVEN;
KC COLPAPEL;860015753-3;APT;PGI_CAL_STD_NAL;39704;APT47065;12256004;09/05/2022;36;09/05/2022;00150CO300183CPP;3;O;297.1804;297.1804;25619;CPP;99472;INTER-TL-ZFP-TOCANCIPA;INTER;TL;ZFP;TOCANCIPA;40HC;S74731;LFQ652;;S;352.119903.61204820.000000.H02.000;035342;CIP;HY NONWOVEN;
KC COLPAPEL;860015753-3;APT;PGI_CAL_STD_NAL;39704;APT47065;12256004;09/05/2022;36;09/05/2022;00150CO300183CPP;3;O;2668.8816;2668.8816;230076;CPP;99472;INTER-TL-ZFP-TOCANCIPA;INTER;TL;ZFP;TOCANCIPA;40HC;S74731;LFQ652;;S;352.119903.61204820.000000.H02.000;035342;CIP;HY NONWOVEN;
KC COLPAPEL;860015753-3;APT;PGI_CAL_STD_NAL;39703;APT47065;12256022;09/05/2022;36;09/05/2022;00297CO300222CPP;3;O;5098.8264;5098.8264;439554;CPP;99472;INTER-TL-ZFP-TOCANCIPA;INTER;TL;ZFP;TOCANCIPA;40HC;S74731;LFQ652;;S;352.119903.61204820.000000.H02.000;035342;CIP;HY NONWOVEN;
TECNOSUR;817000808-8;ALSILOG;PGI_CAL_STD_PLANVALL;39779;APT47066;12256021;09/05/2022;36;09/05/2022;01405CO100346TES;1;O;2252.46;2252.46;150164;TES;99473;INTER-TL-ZFP-PAEZ;INTER;TL;ZFP;PAEZ;40HC;S48353;VMT925;;S;352.119901.61204820.000000.H02.000;035332;DAP;HY NONWOVEN;
TECNOSUR;817000808-8;ALSILOG;PGI_CAL_STD_PLANVALL;39779;APT47066;12256021;09/05/2022;36;09/05/2022;01405CO100346TES;1;O;9481.89;9481.89;632126;TES;99473;INTER-TL-ZFP-PAEZ;INTER;TL;ZFP;PAEZ;40HC;S48353;VMT925;;S;352.119901.61204820.000000.H02.000;035332;DAP;HY NONWOVEN;
POLYSER;900068655-1;APTSUBPDTO;PGI_CAL_DES_NAL;38880;APT47067;12256019;09/05/2022;36;09/05/2022;D100901;N/A;1;270;0;0;;99474;PROPIO-TL-ZFP-CALI;PROPIO;TL;ZFP;CALI;PLANCHON;;PLANCHON/TJV592;;S;352.119901.61204820.000000.H00.000;;EXW;UNASSIGNED;
POLYSER;900068655-1;APTSUBPDTO;PGI_CAL_DES_NAL;38880;APT47067;12256019;09/05/2022;36;09/05/2022;D100402;N/A;2;668;0;0;;99474;PROPIO-TL-ZFP-CALI;PROPIO;TL;ZFP;CALI;PLANCHON;;PLANCHON/TJV592;;S;352.119901.61204820.000000.H00.000;;EXW;UNASSIGNED;
POLYSER;900068655-1;APTSUBPDTO;PGI_CAL_DES_NAL;38880;APT47067;12256019;09/05/2022;36;09/05/2022;D101301;N/A;1;3804;0;0;;99474;PROPIO-TL-ZFP-CALI;PROPIO;TL;ZFP;CALI;PLANCHON;;PLANCHON/TJV592;;S;352.119901.61204820.000000.H00.000;;EXW;UNASSIGNED;
TECNOSUR;817000808-8;APT;PGI_CAL_STD_PLANVALL;39831;APT47068;12256094;09/06/2022;36;09/06/2022;02045CO100270TES;1;O;4616.46;4616.46;102588;TES;99475;INTER-TL-ZFP-PAEZ;INTER;TL;ZFP;PAEZ;40HC;35515;CAV301;;S;352.119901.61204820.000000.H02.000;PR035341;DAP;HY NONWOVEN;
