Clave;Nit;Cliente;Corp;Fecha Fact;Mes;Ano;Factura;APT;Codigo;Codigo Articulo;Descripcion;Color;Segmento;Ancho;Gramaje;Linea;Tecnologia;U.M.;Cantidad;Kilos;Kilos Teoricos;Tipo Factura;Importe;IVA;Flete;Mon;Rate;Dlrs;Dlrs Provision;Precio Promedio;M2;USD_M2;Diferencia;Fecha Cont;Cuenta;Total Cuenta;Segmento Item;Mercado Item;Linea Item;Retefuente;Pais;Trade;Clave Inventario;Ano_SO;CS Analyst;Ejecutivo;Cod3;Price List;NC Observaciones;Vitality Index;Vitality Creation Date;Vitality Update Date;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/12/2022;9;2022;6265;0;11606CO3;11606CO300198MIP;SS 11,6 GSM BLANCO   198 MM;BLANCO;HYGIENE;198;11.6;3;SS;M2;-301834;-301834;-3501.27;CAL NC DEVOL EXT;-12737.39;0;0;USD;4365.32;-12737.39;-12737.39;.04;-301834;.0422;298332.73;09/12/2022;352.119903.417515.000000.H02.000;-55602783;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606198;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;NC POR PEDIDO DEV 500000689. AFECTA LA FACTURA 99509.;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/12/2022;9;2022;6265;0;11606CO3;11606CO300230MIP;SS 11,6 GSM BLANCO   230 MM;BLANCO;HYGIENE;230;11.6;3;SS;M2;-756332;-756332;-8773.45;CAL NC DEVOL EXT;-31917.21;0;0;USD;4365.32;-31917.21;-31917.21;.04;-756332;.0422;747558.55;09/12/2022;352.119903.417515.000000.H02.000;-139328835;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606230;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;NC POR PEDIDO DEV 500000689. AFECTA LA FACTURA 99509.;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300214SPC;SS 11.6 GSM BLANCO   214 MM;BLANCO;HYGIENE;214;11.6;3;SS;M2;90137;1045.59;1045.59;CAL FACTURAS EXT;3803.78;0;0;USD;4365.32;3803.78;3803.78;3.64;90137;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;16604717;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;SPC11606214;;ARBELAEZA;MARIA VARGAS;SPC;CO KC PERU;;2;03-MAY-22;03-MAY-22;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300198MIP;SS 11,6 GSM BLANCO   198 MM;BLANCO;HYGIENE;198;11.6;3;SS;M2;320612;3719.1;3719.1;CAL FACTURAS EXT;13529.83;0;0;USD;4365.32;13529.83;13529.83;3.64;320612;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;59062037;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606198;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300214MIP;SS 11,6 GSM BLANCO   214 MM;BLANCO;HYGIENE;214;11.6;3;SS;M2;51358;595.75;595.75;CAL FACTURAS EXT;2167.31;0;0;USD;4365.32;2167.31;2167.31;3.64;51358;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;9461002;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606214;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300198SPC;SS 11,6 GSM BLANCO   198 MM;BLANCO;HYGIENE;198;11.6;3;SS;M2;107256;1244.17;1244.17;CAL FACTURAS EXT;4526.2;0;0;USD;4365.32;4526.2;4526.2;3.64;107256;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;19758311;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;SPC11606198;;ARBELAEZA;MARIA VARGAS;SPC;CO KC PERU;;2;03-MAY-22;03-MAY-22;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300214MIP;SS 11,6 GSM BLANCO   214 MM;BLANCO;HYGIENE;214;11.6;3;SS;M2;399188;4630.58;4630.58;CAL FACTURAS EXT;16845.73;0;0;USD;4365.32;16845.73;16845.73;3.64;399188;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;73537002;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606214;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99504;APT47098;11606CO3;11606CO300222MIP;SS 11,6 GSM BLANCO   222 MM;BLANCO;HYGIENE;222;11.6;3;SS;M2;52813;612.63;612.63;CAL FACTURAS EXT;2228.71;0;0;USD;4365.32;2228.71;2228.71;3.64;52813;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;9729032;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606222;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99505;APT47099;11606CO3;11606CO300230MIP;SS 11,6 GSM BLANCO   230 MM;BLANCO;HYGIENE;230;11.6;3;SS;M2;294177;3412.45;3412.45;CAL FACTURAS EXT;12414.27;0;0;USD;4365.32;12414.27;12414.27;3.64;294177;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;54192261;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606230;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
9290;100000001;KIMBERLY CLARK PERU S.R.L.;KIMBERLY CLARK;09/11/2022;9;2022;99505;APT47099;11606CO3;11606CO300222MIP;SS 11,6 GSM BLANCO   222 MM;BLANCO;HYGIENE;222;11.6;3;SS;M2;333286;3866.12;3866.12;CAL FACTURAS EXT;14064.67;0;0;USD;4365.32;14064.67;14064.67;3.64;333286;.0422;0;09/11/2022;352.119903.41204815.000000.H02.000;61396785;HY NONWOVEN;HYN BABY;HYNBA BACKSHEET;;Perú;EXPO;MIP11606222;;ARBELAEZA;MARIA VARGAS;MIP;CO KC PERU;;2;18-NOV-21;18-NOV-21;
